"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"472","Kai Jones","Cha","C-F","22.2","39","10.3","12.1","17.7","20","0.75","76","0.605","12","0.25","0.574","0.599","3","2.4","0.2","0.3","0.6","0.5","5.4","3.2","5.6","4.4","111.4","104.2"
"473","Jake LaRavia","Mem","F","21.4","33","11.9","12","16.5","9","0.778","24","0.542","67","0.328","0.505","0.521","3","1.8","0.6","0.4","0.1","0.5","4.8","3.6","5.5","5","103.4","102.9"
"474","Saben Lee","Phi","G","23.8","2","5.1","31","42.9","0","0","3","1","1","0","0.75","0.75","3","0","1","0.5","0","1.5","3","4","4","0","86.3","104.8"
"475","Raul Neto","Cle","G","30.8","45","10","12","13.7","27","0.889","57","0.667","37","0.324","0.596","0.642","3","0.9","1.4","0.4","0.1","0.3","3.9","4.4","5.3","6.2","132.2","105.5"
"476","Trevelin Queen","Ind","G","26.1","7","10","23","19.2","5","1","14","0.357","15","0.133","0.276","0.337","3","2.4","0.9","0.3","0.7","1","5.4","3.9","6.3","7.5","78.9","115.7"
"477","Neemias Queta","Sac","C","23.7","4","6.1","17.3","11.1","2","0","8","0.75","0","0","0.75","0.676","3","2.3","0.3","0","0.3","0.3","5.3","3.3","5.5","8.4","133.9","89.4"
"478","T.J. Warren","Pho","F","29.6","10","10","15.2","5.7","1","0","26","0.462","7","0.286","0.455","0.449","3","2.3","0.2","0.4","0.1","0.2","5.3","3.2","5.5","4.5","97.9","101.7"
"479","Moussa Diabate","Lac","F","21.2","18","9.5","14.2","18.3","16","0.625","38","0.526","2","0.5","0.538","0.563","2.9","2.5","0.2","0.3","0.3","0.5","5.4","3.1","5.6","4.8","119.9","110.3"
"480","Juancho Hernangomez","Tor","F","27.5","42","14.6","9.4","11.6","16","0.563","47","0.66","67","0.254","0.496","0.504","2.9","2.9","0.6","0.4","0.1","0.4","5.8","3.5","6.4","4.7","108.3","110.6"
"481","A.J. Lawson","Dal","G","22.7","11","5.5","20.6","3.8","3","0.333","9","0.556","16","0.438","0.62","0.608","2.9","0.7","0.1","0.1","0","0.1","3.6","3","3.7","4.3","116.5","108.1"
"482","Jabari Walker","Por","F","20.7","47","9","15.9","14.3","33","0.758","90","0.5","30","0.233","0.463","0.506","2.9","2","0.5","0.1","0.2","0.4","4.9","3.4","5.4","6.3","108.5","110.3"
"483","Will Barton","Tor","G","32.2","11","13","14.9","6.1","2","1","21","0.333","25","0.2","0.315","0.331","2.8","1.5","1","0.5","0.2","0.3","4.4","3.8","5.4","5","83.1","109.6"
"484","Jeff Dowtin Jr.","Tor","G","25.9","20","9.7","12.9","8.9","7","0.714","38","0.5","13","0.308","0.49","0.509","2.8","1","1.1","0.4","0.1","0.3","3.8","3.8","4.8","6","114.5","113.2"
"485","Micah Potter","Uta","F","25","4","6.1","12","0","0","0","5","0.8","2","0.5","0.786","0.786","2.8","0.8","0.8","0","0","0","3.5","3.5","4.3","8","170.1","110.2"
"486","Olivier Sarr","Okc","C","24.1","5","11.9","11.5","19.4","3","1","7","0.571","5","0.2","0.458","0.526","2.8","2.8","0.6","0","1","0.6","5.6","3.4","6.2","5.6","116.4","102.5"
"487","Udoka Azubuike","Uta","C-F","23.5","29","7.1","13.1","22.4","16","0.313","45","0.8","0","0","0.8","0.74","2.7","2.6","0.2","0.2","0.4","0.4","5.2","2.9","5.5","6.3","123.7","106.2"
"488","Frank Kaminsky","Atl","F-C","30","26","6.8","13.9","16.9","12","0.833","21","0.667","23","0.478","0.693","0.72","2.7","1.4","0.8","0.2","0","0.3","4.1","3.5","4.9","8.5","132.5","105.6"
"489","Robin Lopez","Cle","C","35","34","7.5","15.7","26.7","16","0.75","57","0.649","3","0.667","0.667","0.686","2.7","1.3","0.4","0","0.2","0.6","4","3.1","4.4","6","114.1","101.8"
"490","Terry Taylor","Ind","G","23.5","26","8.8","14.3","12.1","7","0.714","47","0.553","18","0.222","0.492","0.507","2.7","1.5","0.4","0.1","0.2","0.3","4.2","3","4.5","5.3","108.7","113"
"491","Matisse Thybulle","Phi","G-F","26.1","49","12.1","9.8","6.4","12","0.75","53","0.547","63","0.333","0.522","0.536","2.7","1.3","0.5","0.9","0.3","0.2","3.9","3.1","4.4","4","116.1","103"
"492","Juan Toscano-Anderson","Lal","F","30","30","12.2","10.4","20.4","15","0.733","46","0.63","20","0.2","0.53","0.558","2.7","2","0.8","0.3","0.2","0.6","4.7","3.5","5.6","5.3","107.1","103.8"
"493","Trent Forrest","Atl","G","24.8","19","12.7","10.9","17.9","3","0.667","48","0.5","2","0","0.48","0.487","2.6","1.5","1.6","0.3","0.1","0.6","4.2","4.3","5.8","5.8","103.5","114"
"494","James Johnson","Ind","F","36.1","15","8.7","14.9","11.6","8","0.5","25","0.52","13","0.231","0.461","0.47","2.6","1.5","0.7","0.3","0.4","0.3","4.1","3.3","4.8","6.4","97.3","98.1"
"495","Jared Butler","Okc","G","22.6","2","9.6","13.1","33.3","0","0","2","0.5","2","0.5","0.625","0.625","2.5","0.5","2","1.5","0","1","3","4.5","5","5.7","104.1","97"
"496","Ron Harper Jr.","Tor","F","22.9","4","3.5","21.1","0","0","0","3","0.667","4","0.5","0.714","0.714","2.5","0.5","0","0","0","0","3","2.5","3","0","",""
"497","Damian Jones","Lal","C","27.7","22","8","13.1","19.4","20","0.75","34","0.588","3","0","0.541","0.6","2.5","2.5","0.2","0.1","0.5","0.4","5","2.7","5.2","5.4","118.3","105.1"
"498","Frank Ntilikina","Dal","G","24.7","44","11.7","12.8","18.5","25","0.68","52","0.5","58","0.241","0.427","0.459","2.5","1.3","1.1","0.3","0.1","0.6","3.8","3.7","4.9","5.2","94.5","108.4"
"499","Ish Smith","Den","G","34.7","37","8.8","18.9","27.1","2","0.5","96","0.438","6","0.333","0.441","0.442","2.5","1.2","2.1","0.2","0.2","1","3.7","4.5","5.8","8.4","90.1","109.8"
"500","Garrett Temple","Nor","G-F","36.9","18","6.9","14.7","9.7","4","0.75","16","0.375","21","0.476","0.568","0.58","2.5","0.7","0.6","0.4","0.1","0.2","3.2","3.1","3.8","5.9","118.9","106.9"
"501","Juan Toscano-Anderson","Uta","F","30","13","11.6","10.7","21.4","4","1","22","0.5","7","0.286","0.483","0.52","2.5","2.5","1.2","0.3","0.1","0.6","5","3.7","6.2","6.7","107.4","107.1"
"502","Dewayne Dedmon","Phi","C","33.6","4","5.9","18.6","22.2","2","0","7","0.714","0","0","0.714","0.635","2.5","2.3","0.5","0.3","0.3","0.5","4.8","3","5.3","9.6","115","93.6"
"503","Dylan Windler","Cle","G-F","26.5","2","4","22.4","25","0","0","1","1","2","0.5","0.833","0.833","2.5","0","0.5","0.5","0","0.5","2.5","3","3","0","118.8","112.1"
"504","Ryan Arcidiacono","Por","G","29","7","14.7","11.1","15.4","0","0","9","0.111","13","0.385","0.386","0.386","2.4","1","2.1","0.4","0","0.6","3.4","4.6","5.6","4.7","93.9","111.6"
"505","Sandro Mamukelashvili","Mil","F-C","23.8","24","9.1","14.5","13.4","18","0.667","26","0.462","32","0.219","0.388","0.432","2.4","2.3","0.7","0.2","0.2","0.4","4.7","3","5.4","6.9","102.2","104.3"
"506","Johnny Davis","Was","G","21.1","20","8.1","16.8","8.6","9","0.556","40","0.475","13","0.077","0.387","0.404","2.3","1","0.3","0.1","0.1","0.3","3.3","2.6","3.6","4.4","84.5","103.5"
"507","Nerlens Noel","Det","C-F","29","14","10.8","11.9","20.9","10","0.7","28","0.393","2","0.5","0.417","0.465","2.3","2.6","0.5","0.9","0.6","0.6","4.9","2.8","5.4","5.3","92.6","99"
"508","Scotty Pippen Jr.","Lal","G","22.4","6","5.3","24.1","14","9","0.556","9","0.333","3","0.333","0.375","0.439","2.3","0.7","0.3","0.3","0.2","0.3","3","2.7","3.3","5.9","92.8","106.7"
"509","Davon Reed","Den","G","27.8","35","9","15","19.9","20","0.75","36","0.25","44","0.364","0.413","0.456","2.3","1.5","0.5","0.4","0.1","0.6","3.9","2.9","4.4","5.3","89.3","104.8"
"510","Jay Huff","Was","C","25.6","3","4.1","21.9","45","5","1","1","1","1","0","0.5","0.833","2.3","1.3","0.3","0","0","0.7","3.7","2.7","4","9.4","120.8","106.8"
"511","Khem Birch","Tor","C","30.5","20","8.1","11.1","19.8","5","0.8","30","0.6","2","0.5","0.609","0.629","2.2","1.3","0.4","0.3","0.3","0.4","3.4","2.5","3.8","5.2","113.1","102.9"
"512","Kennedy Chandler","Mem","G","20.5","32","8","15.9","17.4","13","0.462","61","0.475","15","0.133","0.421","0.428","2.2","1","1.7","0.3","0.2","0.5","3.2","3.9","4.9","7.8","100.2","110.1"
"513","Dru Smith","Mia","G","25.2","5","13.4","9.9","6.7","0","0","8","0.5","6","0.167","0.393","0.393","2.2","1.8","1","0.8","0.6","0.2","4","3.2","5","4.7","94.3","97.6"
"514","Andre Iguodala","Gol","G-F","39.2","8","14.1","9.4","37","3","0.667","6","1","9","0.111","0.5","0.521","2.1","2.1","2.4","0.5","0.4","1.1","4.3","4.5","6.6","6.2","102","108.6"
"515","Darius Bazley","Pho","F-G","22.8","4","6.4","18","19.6","2","0.5","4","0.5","4","0.25","0.438","0.45","2","1.5","0.8","0.5","0.5","0.5","3.5","2.8","4.3","8.4","91.8","91.1"
"516","Buddy Boeheim","Det","F","23.4","7","9.8","14.8","0","2","1","1","0","22","0.182","0.261","0.293","2","0.6","0.4","0.3","0","0","2.6","2.4","3","3.2","78.4","118.9"
